p_end,e_end,log_likelihood,delta_log_likelihood
0.5561666666666667,0.5125,-49558.34338067546,685.2540112728166
0.5561666666666667,0.51875,-49588.75212522232,715.6627558196778
0.5561666666666667,0.525,-49619.725156450986,746.6357870483407
0.5561666666666667,0.53125,-49651.25799292234,778.1686235196976
0.5561666666666667,0.5375000000000001,-49683.34627138053,810.2569019778821
0.5561666666666667,0.54375,-49715.98574327398,842.8963738713355
0.5561666666666667,0.55,-49749.17227141731,876.082902014663
0.5561666666666667,0.55625,-49782.901826786736,909.8124573840905
0.5561666666666667,0.5625,-49817.17048544303,944.0811160403828
0.5561666666666667,0.5687500000000001,-49851.97442557565,978.8850561730069
0.5561666666666667,0.575,-49887.30992466252,1014.2205552598753
0.5561666666666667,0.58125,-49923.17335673983,1050.0839873371879
0.5561666666666667,0.5875,-49959.56118977701,1086.4718203743614
0.5561666666666667,0.59375,-49996.469983151794,1123.3806137491483
0.5561666666666667,0.6000000000000001,-50033.89638522106,1160.8070158184128
0.5561666666666667,0.60625,-50071.83713098298,1198.7477615803364
0.5561666666666667,0.6125,-50110.28903982639,1237.1996704237463
0.5561666666666667,0.61875,-50149.249013363595,1276.1596439609493
0.5561666666666667,0.625,-50188.71403334293,1315.6246639402816
0.5561666666666667,0.6312500000000001,-50228.681159637585,1355.5917902349393
0.5561666666666667,0.6375,-50269.14752830738,1396.058158904736
0.5561666666666667,0.64375,-50310.1103497305,1437.0209803278558
0.5561666666666667,0.65,-50351.56690680197,1478.4775373993252
0.5561666666666667,0.65625,-50393.51455319645,1520.4251837938064
0.5561666666666667,0.6625000000000001,-50435.95071169228,1562.8613422896378
0.5561666666666667,0.66875,-50478.87287255448,1605.7835031518334
0.5561666666666667,0.675,-50522.278591974275,1649.1892225716292
0.5561666666666667,0.68125,-50566.165490562744,1693.0761211600984
0.5561666666666667,0.6875,-50610.531251896566,1737.4418824939203
0.5561666666666667,0.6937500000000001,-50655.373621113686,1782.2842517110403
0.5561666666666667,0.7,-50700.69040355686,1827.6010341542133
0.5561666666666667,0.70625,-50746.47946346342,1873.3900940607782
0.5561666666666667,0.7125000000000001,-50792.73872269933,1919.6493532966851
0.5561666666666667,0.71875,-50839.46615953572,1966.376790133072
0.5561666666666667,0.7250000000000001,-50886.659807466494,2013.570438063849
0.5561666666666667,0.73125,-50934.31775406537,2061.228384662725
0.5561666666666667,0.7375,-50982.43813988076,2109.3487704781146
0.5561666666666667,0.7437500000000001,-51031.01915736724,2157.9297879645965
0.5561666666666667,0.75,-51080.05904985224,2206.969680449598
0.5561666666666667,0.7562500000000001,-51129.55611053655,2256.4667411339033
0.5561666666666667,0.7625,-51179.5086815275,2306.4193121248536
0.5561666666666667,0.76875,-51229.9151529037,2356.825783501052
0.5561666666666667,0.7750000000000001,-51280.77396181006,2407.684592407415
0.5561666666666667,0.78125,-51332.083591582166,2458.994222179521
0.5561666666666667,0.7875000000000001,-51383.84257089893,2510.7532014962853
0.5561666666666667,0.79375,-51436.049472962455,2562.96010355981
0.5561666666666667,0.8,-51488.70291470433,2615.613545301683
0.5561666666666667,0.8062500000000001,-51541.80155601735,2668.7121866147063
0.5561666666666667,0.8125,-51595.34409901185,2722.2547296092016
0.5561666666666667,0.8187500000000001,-51649.32928729574,2776.2399178930937
0.5561666666666667,0.825,-51703.75590527762,2830.666535874974
0.5561666666666667,0.83125,-51758.62277749204,2885.5334080893954
0.5561666666666667,0.8375000000000001,-51813.92876794634,2940.8393985436924
0.5561666666666667,0.84375,-51869.67277948816,2996.5834100855136
0.5561666666666667,0.8500000000000001,-51925.85375319334,3052.7643837906944
0.5561666666666667,0.85625,-51982.47066777303,3109.381298370383
0.5561666666666667,0.8625,-52039.52253899997,3166.4331695973233
0.5561666666666667,0.8687500000000001,-52097.008419152866,3223.9190497502204
0.5561666666666667,0.875,-52154.92739647869,3281.8380270760463
0.5561666666666667,0.8812500000000001,-52213.278594672054,3340.189225269409
0.5561666666666667,0.8875,-52272.06117237137,3398.971802968721
0.5561666666666667,0.89375,-52331.274322671125,3458.184953268479
0.5561666666666667,0.9000000000000001,-52390.91727265,3517.827903247351
0.5561666666666667,0.90625,-52450.98928291407,3577.899913511428
0.5561666666666667,0.9125000000000001,-52511.489647155046,3638.4002777524
0.5561666666666667,0.91875,-52572.41769172269,3699.3283223200415
0.5561666666666667,0.925,-52633.7727752114,3760.683405808755
0.5561666666666667,0.9312500000000001,-52695.55428806035,3822.464918657708
0.5561666666666667,0.9375,-52757.76165216682,3884.6722827641715
0.5561666666666667,0.9437500000000001,-52820.39432051242,3947.304951109778
0.5561666666666667,0.95,-52883.451776801914,4010.3624073992687
0.55925,0.2,-48911.781409622345,38.692040219699265
0.55925,0.20625000000000002,-48903.45339354576,30.364024143113056
0.55925,0.21250000000000002,-48896.22353962009,23.13417021744681
0.55925,0.21875,-48890.06893476514,16.979565362496942
0.55925,0.225,-48884.96763929809,11.878269895445555
0.55925,0.23125,-48880.8986300907,7.8092606880527455
