scenario,period,model_accuracy,engagement,detection,proxy_sensitivity_actual,proxy_false_positive_actual,expected_override_rate,expected_proxy_rate
detection_drift_misspecification,0,0.6,0.9,0.75,0.9,0.1,0.3010000000000001,0.8200000000000001
detection_drift_misspecification,1,0.6,0.9,0.7304347826086957,0.9,0.1,0.2939565217391305,0.8200000000000001
detection_drift_misspecification,2,0.6,0.9,0.7108695652173913,0.9,0.1,0.2869130434782609,0.8200000000000001
detection_drift_misspecification,3,0.6,0.9,0.691304347826087,0.9,0.1,0.2798695652173913,0.8200000000000001
detection_drift_misspecification,4,0.6,0.9,0.6717391304347826,0.9,0.1,0.2728260869565217,0.8200000000000001
detection_drift_misspecification,5,0.6,0.9,0.6521739130434783,0.9,0.1,0.2657826086956522,0.8200000000000001
detection_drift_misspecification,6,0.6,0.9,0.6326086956521739,0.9,0.1,0.2587391304347827,0.8200000000000001
detection_drift_misspecification,7,0.6,0.9,0.6130434782608696,0.9,0.1,0.25169565217391304,0.8200000000000001
detection_drift_misspecification,8,0.6,0.9,0.5934782608695652,0.9,0.1,0.2446521739130435,0.8200000000000001
detection_drift_misspecification,9,0.6,0.9,0.5739130434782609,0.9,0.1,0.2376086956521739,0.8200000000000001
detection_drift_misspecification,10,0.6,0.9,0.5543478260869565,0.9,0.1,0.23056521739130437,0.8200000000000001
detection_drift_misspecification,11,0.6,0.9,0.5347826086956522,0.9,0.1,0.22352173913043483,0.8200000000000001
detection_drift_misspecification,12,0.6,0.9,0.5152173913043478,0.9,0.1,0.21647826086956523,0.8200000000000001
detection_drift_misspecification,13,0.6,0.9,0.49565217391304345,0.9,0.1,0.20943478260869564,0.8200000000000001
detection_drift_misspecification,14,0.6,0.9,0.4760869565217391,0.9,0.1,0.2023913043478261,0.8200000000000001
detection_drift_misspecification,15,0.6,0.9,0.45652173913043476,0.9,0.1,0.19534782608695653,0.8200000000000001
detection_drift_misspecification,16,0.6,0.9,0.4369565217391304,0.9,0.1,0.18830434782608696,0.8200000000000001
