scenario,cases_per_period,audit_share,estimator,replications,truth,mean_estimate,bias,rmse,empirical_sd,mean_reported_se,coverage_95,mcse_bias,mcse_coverage
exact_equivalent_disengagement,250,0.1,delta_p_audit_proxy,1000,0.0,0.0016157706765344254,0.0016157706765344254,0.06939069184437037,0.06940658956061488,0.06627816503008697,0.931,0.002194829076360083,0.008014923580421711
exact_equivalent_disengagement,250,0.1,delta_e_audit_proxy,1000,-0.6082758620689657,-0.6055573060680818,0.0027185560008839284,0.04994971807591749,0.04990063990568351,0.04836753154228127,0.939,0.0015779967880184972,0.007568289106528638
exact_equivalent_disengagement,250,0.1,delta_override,1000,-0.1764000000000001,-0.17483292,0.0015670800000001112,0.017064710768132003,0.017001107361731622,0.017251100120620852,0.949,0.0005376222200812809,0.006956938982052382
exact_equivalent_disengagement,250,0.25,delta_p_audit_override,1000,0.0,0.0029986450246851427,0.0029986450246851427,0.0398630019509886,0.03976994721220678,0.040576159877223,0.96,0.0012576361561523722,0.00619677335393187
exact_equivalent_disengagement,250,0.25,delta_e_audit_override,1000,-0.6082758620689657,-0.6006332233794681,0.007642638689497652,0.07989313353808802,0.07956653627053681,0.08332684295048878,0.964,0.0025161148014529564,0.005891010100144119
exact_equivalent_disengagement,250,0.25,delta_p_audit_proxy,1000,0.0,0.002241670494649272,0.002241670494649272,0.04242712907209724,0.042389067313654584,0.04214651356939758,0.951,0.0013404600060134355,0.006826346021115546
exact_equivalent_disengagement,250,0.25,delta_e_audit_proxy,1000,-0.6082758620689657,-0.6081837013946444,9.21606743213611e-05,0.049860569546870306,0.04988543332884667,0.04830864230609101,0.945,0.0015775159138363096,0.007209368904418752
exact_equivalent_disengagement,250,0.25,delta_override,1000,-0.1764000000000001,-0.17528644,0.0011135600000001134,0.017722069269698736,0.017695899756570578,0.01726264766732151,0.951,0.000559593484767822,0.006826346021115546
exact_equivalent_disengagement,1000,0.1,delta_p_audit_override,1000,0.0,0.00020601868941361125,0.00020601868941361125,0.031629749176193614,0.03164490463309647,0.030315799325165146,0.948,0.0010006997497939982,0.007021111023192843
exact_equivalent_disengagement,1000,0.1,delta_e_audit_override,1000,-0.6082758620689657,-0.6081590580397901,0.00011680402917564953,0.054189647035865436,0.05421663625066373,0.05306431227464821,0.947,0.0017144805762494904,0.007084560677981384
exact_equivalent_disengagement,1000,0.1,delta_p_audit_proxy,1000,0.0,0.0005467372564811354,0.0005467372564811354,0.03402108489837802,0.03403371254542538,0.033204086959142315,0.936,0.00107624048874991,0.007739767438366605
exact_equivalent_disengagement,1000,0.1,delta_e_audit_proxy,1000,-0.6082758620689657,-0.606891579960233,0.001384282108732588,0.024667327559622646,0.024640778801757038,0.024102534695564476,0.949,0.0007792098433394685,0.006956938982052382
exact_equivalent_disengagement,1000,0.1,delta_override,1000,-0.1764000000000001,-0.17622284000000002,0.00017716000000011286,0.008544547325634052,0.008546985099360398,0.008639002757672262,0.955,0.00027027940041499403,0.00655553201502365
exact_equivalent_disengagement,1000,0.25,delta_p_audit_override,1000,0.0,-4.398134104128915e-05,-4.398134104128915e-05,0.019720532989499683,0.01973035158848901,0.02022169571092244,0.954,0.000623928500555465,0.006624499981130654
exact_equivalent_disengagement,1000,0.25,delta_e_audit_override,1000,-0.6082758620689657,-0.607018898027264,0.0012569640417016074,0.04231606195639868,0.04231855386112027,0.04140169412966651,0.948,0.0013382301748565291,0.007021111023192843
exact_equivalent_disengagement,1000,0.25,delta_p_audit_proxy,1000,0.0,-6.333974015169613e-05,-6.333974015169613e-05,0.020373702425891097,0.02038379841575,0.021010705762539855,0.959,0.0006445923035950182,0.006270486424512857
exact_equivalent_disengagement,1000,0.25,delta_e_audit_proxy,1000,-0.6082758620689657,-0.608344118983039,-6.82569140732191e-05,0.025204773750159448,0.025217293127198864,0.024090048871375367,0.935,0.0007974408270605858,0.0077958322198467015
exact_equivalent_disengagement,1000,0.25,delta_override,1000,-0.1764000000000001,-0.17600514,0.0003948600000001127,0.008918032608148508,0.008913744781315338,0.00863796449137482,0.943,0.0002818773599039597,0.007331507348424336
exact_equivalent_disengagement,4000,0.1,delta_p_audit_override,1000,0.0,0.0005596827944239894,0.0005596827944239894,0.014944430742431894,0.014941419323356318,0.015183891037821829,0.955,0.00047248916537457827,0.00655553201502365
exact_equivalent_disengagement,4000,0.1,delta_e_audit_override,1000,-0.6082758620689657,-0.6071180306186823,0.001157831450283318,0.025745314404106292,0.025732135218086736,0.0264707628040313,0.964,0.0008137215634858768,0.005891010100144119
exact_equivalent_disengagement,4000,0.1,delta_p_audit_proxy,1000,0.0,0.0008778175772591845,0.0008778175772591845,0.0164301298139345,0.01641487283087652,0.016613119185209458,0.958,0.0005190838564758571,0.006343185319695463
exact_equivalent_disengagement,4000,0.1,delta_e_audit_proxy,1000,-0.6082758620689657,-0.6088977610784575,-0.0006218990094918624,0.012343653964488291,0.012334146341883722,0.012045777762403986,0.947,0.00039003995434186433,0.007084560677981384
exact_equivalent_disengagement,4000,0.1,delta_override,1000,-0.1764000000000001,-0.17637083250000002,2.9167500000113616e-05,0.004160230039462962,0.00416220941633397,0.004321589610807626,0.958,0.00013162061854215382,0.006343185319695463
exact_equivalent_disengagement,4000,0.25,delta_p_audit_override,1000,0.0,-0.00028031034912547303,-0.00028031034912547303,0.009967503933023791,0.009968547170762327,0.010112266699695846,0.954,0.0003152331402243641,0.006624499981130654
exact_equivalent_disengagement,4000,0.25,delta_e_audit_override,1000,-0.6082758620689657,-0.6083984765374054,-0.00012261446843968838,0.02065899849422238,0.020668971693513907,0.02071422965350083,0.958,0.0006536102744505162,0.006343185319695463
exact_equivalent_disengagement,4000,0.25,delta_p_audit_proxy,1000,0.0,-0.00030132653894678735,-0.00030132653894678735,0.010373201389783527,0.010374012218975485,0.010506317927669028,0.956,0.00032805507086379975,0.006485676526007139
exact_equivalent_disengagement,4000,0.25,delta_e_audit_proxy,1000,-0.6082758620689657,-0.6086202447378641,-0.0003443826688984256,0.012271021918827498,0.01227232616496182,0.012046945116220856,0.95,0.00038808502869758644,0.006892024376045114
